 UJEŚCISKO-ŁOSTOWICE ,  ﻿11 Listopada
 UJEŚCISKO-ŁOSTOWICE ,  Ciechanowska
 CHEŁM ,  Cienista
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Cienista
 ŚRÓDMIEŚCIE ,  Ciesielska
 CHEŁM ,  Władysława Cieszyńskiego
 ZASPA-ROZSTAJE ,  Konstantego Ciołkowskiego
 UJEŚCISKO-ŁOSTOWICE ,  Cisowa
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Cmentarna
 OSOWA ,  Cumowników
 BRZEŹNO ,  Zbigniewa Cybulskiego
 SUCHANINO ,  Cygańska Góra
 JASIEŃ ,  Cyprysowa
 OLIWA ,  Cystersów
 MATARNIA ,  Cytrowa
 WYSPA SOBIESZEWSKA ,  Czajki
 SUCHANINO ,  Piotra Czajkowskiego
 KOKOSZKI ,  Czaplewska
 WRZESZCZ GÓRNY ,  Czarna
 WRZESZCZ GÓRNY ,  Stefana Czarnieckiego
 VII DWÓR ,  Tadeusza Czarnowskiego
 PRZYMORZE WIELKIE ,  Czarny Dwór -
 ZASPA-ROZSTAJE ,  Czarny Dwór strona niezamieszkała
 PIECKI-MIGOWO ,  Bronisława Czecha
 KOKOSZKI ,  Czeremchowa
 UJEŚCISKO-ŁOSTOWICE ,  Czereśniowa
 JASIEŃ ,  Władysława Czermińskiego
 CHEŁM ,  Czerska
 KOKOSZKI ,  Czerwcowa
 PRZYMORZE MAŁE ,  Czerwony Dwór
 UJEŚCISKO-ŁOSTOWICE ,  Częstochowska
 CHEŁM ,  Jana Czirenberga
 UJEŚCISKO-ŁOSTOWICE ,  Człuchowska
 ŚRÓDMIEŚCIE ,  Czopowa
 PIECKI-MIGOWO ,  prof. Zygmunta Czubińskiego
 OLIWA ,  Józefa Czyżewskiego
 WYSPA SOBIESZEWSKA ,  Czyżyków
 BRZEŹNO ,  Mieczysławy Ćwiklińskiej
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Daleka
 WRZESZCZ DOLNY ,  Daliowa
 JASIEŃ ,  Damroki
 ANIOŁKI ,  Jana Dantyszka
 WRZESZCZ DOLNY ,  Danusi
 PRZYMORZE MAŁE ,  Darłowska
 OSOWA ,  Daru Pomorza
 UJEŚCISKO-ŁOSTOWICE ,  Darżlubska
 UJEŚCISKO-ŁOSTOWICE ,  Stanisława Dąbka
 ANIOŁKI ,  gen. Henryka Dąbrowskiego
 PRZYMORZE WIELKIE ,  Dąbrowszczaków
 CHEŁM ,  Dąbrówki
 WRZESZCZ GÓRNY ,  gen. de Gaulle’a
 PRZERÓBKA ,  Roberta de Plelo
 MATARNIA ,  Dedala
 WRZESZCZ GÓRNY ,  Jana Dekerta
 OSOWA ,  Delfina
 WRZESZCZ DOLNY ,  Deotymy
 OLIWA ,  Jarosza Henryka Derdowskiego
 ANIOŁKI ,  Dębinki
 ANIOŁKI ,  Dębowa
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Diamentowa
 OSOWA ,  Diany
 PRZERÓBKA ,  Karola Dickensa
 OLIWA ,  Arenda Dickmana
 OSOWA ,  Dionizosa
 ŚRÓDMIEŚCIE ,  Długa
 ŚRÓDMIEŚCIE ,  Długa Grobla
 ŚRÓDMIEŚCIE ,  Długi Targ
 ŚRÓDMIEŚCIE ,  Długie Ogrody
 ŚRÓDMIEŚCIE ,  Długie Pobrzeże
 NOWY PORT ,  Jana Długosza
 WRZESZCZ GÓRNY ,  Romana Dmowskiego
 WRZESZCZ GÓRNY ,  Do Studzienki
 ŚRÓDMIEŚCIE ,  Dobra
 PIECKI-MIGOWO ,  Antoniego Dobrowolskiego
 WZGÓRZE MICKIEWICZA ,  Dobrzyńskich
 KOKOSZKI ,  Dojazdowa
 CHEŁM ,  Dokerów
 ŚRÓDMIEŚCIE ,  Doki
 ŚRÓDMIEŚCIE ,  Dolna
 ŚRÓDMIEŚCIE ,  Dolna Brama
 BRĘTOWO ,  Dolne Migowo
 BRĘTOWO ,  Dolne Młyny
 WZGÓRZE MICKIEWICZA ,  Ignacego Domeyki
 CHEŁM ,  bpa Konstantyna Dominika
 VII DWÓR ,  Witolda Doroszewskiego
 CHEŁM ,  Marcina Dragana
 OSOWA ,  Drawska
 PRZYMORZE MAŁE ,  Leona Droszyńskiego
 VII DWÓR ,  Drożyny
 UJEŚCISKO-ŁOSTOWICE ,  Drużyn Strzeleckich
 SIEDLCE ,  Drwęcka
 ZASPA-ROZSTAJE ,  Stefana Drzewieckiego
 OLIWA ,  Wojciecha Drzymały
 WRZESZCZ DOLNY ,  Stanisława Dubois
 UJEŚCISKO-ŁOSTOWICE ,  Aleksandra Dulin’a
 WYSPA SOBIESZEWSKA ,  Dulkowa
 BRZEŹNO ,  Ksawerego Dunikowskiego
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Dworcowa
 OLSZYNKA ,  Dworkowa
 BRZEŹNO ,  Dworska
 ZASPA-ROZSTAJE ,  Adolfa Dygasińskiego
 ŚRÓDMIEŚCIE ,  Dylinki
 ŚRÓDMIEŚCIE ,  Dyrekcyjna
 CHEŁM ,  Dywizji Wołyńskiej
 ZASPA-MŁYNIEC ,  Dywizjonu 303
 CHEŁM ,  Mikołaja Działyńskiego
 ŚRÓDMIEŚCIE ,  Dziana
 ANIOŁKI ,  Łukasza Dziekuć-Maleja
 WRZESZCZ DOLNY ,  Dzielna
 ŚRÓDMIEŚCIE ,  Jana Dziewanowskiego
 OLSZYNKA ,  Dzwonki
 WRZESZCZ DOLNY ,  Dźwigowa
 PIECKI-MIGOWO ,  Tomasza Edisona
 KOKOSZKI ,  Egiertowska
 RUDNIKI ,  Elbląska
 ŚRÓDMIEŚCIE ,  Elbląska
 MATARNIA ,  Elewów
 UJEŚCISKO-ŁOSTOWICE ,  Elfów
 ŚRÓDMIEŚCIE ,  Elżbietańska
 OSOWA ,  Eurydyki
 KOKOSZKI ,  Fabryczna
 ANIOŁKI ,  Daniela Fahrenheita
 STOGI ,  Jeremiasza Falck Polonusa
 WRZESZCZ GÓRNY ,  Falista
 WYSPA SOBIESZEWSKA ,  Falowa
 OSOWA ,  Feniksa
 CHEŁM ,  gen. Augusta Emila Fieldorfa
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Figowa
 WZGÓRZE MICKIEWICZA ,  Filaretów
 WZGÓRZE MICKIEWICZA ,  Filomatów
 OLSZYNKA ,  Fiołkowa
 WRZESZCZ GÓRNY ,  gen. Józefa Fiszera
 STRZYŻA ,  Grzegorza Fitelberga
 OLIWA ,  Flisacka
 JASIEŃ ,  Alfonsa Flisykowskiego
 NOWY PORT ,  Floriańska
 OSOWA ,  Flory
 ANIOŁKI ,  marsz. Ferdynanda Focha
 WYSPA SOBIESZEWSKA ,  Forsycji
 WRZESZCZ DOLNY ,  Aleksandra Fredry
 WYSPA SOBIESZEWSKA ,  Frezjowa
 PRZYMORZE MAŁE ,  Fromborska
 PIECKI-MIGOWO ,  Roberta Fultona
 ŚRÓDMIEŚCIE ,  Fundacyjna
 KOKOSZKI ,  Fundamentowa
 JASIEŃ ,  Aleksandry Gabrysiak
 OSOWA ,  Gajowa
 OSOWA ,  Galaktyczna
 OSOWA ,  Galileusza
 BRZEŹNO ,  Iwo Galla
 BRZEŹNO ,  Konstantego Ildefonsa Gałczyńskiego
 ŚRÓDMIEŚCIE ,  Garbary
 JASIEŃ ,  Garczyńska
 ŚRÓDMIEŚCIE ,  Garncarska
 ŚRÓDMIEŚCIE ,  Gazownicza
 OLIWA ,  Pawła Gdańca
 BRZEŹNO ,  Gdańska
 RUDNIKI ,  Gdańskiego Kolejarza
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Gdyńska
 ŚRÓDMIEŚCIE ,  Gdyńskich Kosynierów
 WZGÓRZE MICKIEWICZA ,  Gerwazego
 OLSZYNKA ,  Gęsia
 BRĘTOWO ,  Jerzego Giedroycia
 ANIOŁKI ,  gen. Antoniego Giełguda
 SIEDLCE ,  Maksymiliana Gierymskiego
 STRZYŻA ,  Michała Glinki
 ŚRÓDMIEŚCIE ,  Głęboka
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Głogowa
 VII DWÓR ,  Głogowska
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Głucha
 OSOWA ,  Gnieźnieńska
 ŚRÓDMIEŚCIE ,  Gnilna
 PIECKI-MIGOWO ,  Poli Gojawiczyńskiej
 WRZESZCZ DOLNY ,  Gołębia
 KOKOSZKI ,  Gołuńska
 STRZYŻA ,  Mikołaja Gomółki
 WRZESZCZ GÓRNY ,  Wiktora Gomulickiego
 KOKOSZKI ,  Goplańska
 UJEŚCISKO-ŁOSTOWICE ,  Gorzowska
 JASIEŃ ,  Goska
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Gospody
 KOKOSZKI ,  Gostyńska
 SIEDLCE ,  Seweryna Goszczyńskiego
 JASIEŃ ,  Goszyńska
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Gościnna
 WRZESZCZ GÓRNY ,  Gotycka
 OSOWA ,  Gowidlińska
 OLSZYNKA ,  Goździkowa
 BRĘTOWO ,  Góralska
 KRAKOWIEC-GÓRKI ZACHODNIE ,  Górecka
 NOWY PORT ,  ks. Mariana Góreckiego
 ŚRÓDMIEŚCIE ,  Górka
 ŚRÓDMIEŚCIE ,  Górna
 WRZESZCZ DOLNY ,  Górnicza
 CHEŁM ,  prof. Huberta Górnowicza
 OLIWA ,  Kazimierza Górskiego
 BRĘTOWO ,  Górzysta
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Grabowa
 CHEŁM ,  Witolda Grabowskiego
 ŚRÓDMIEŚCIE ,  Gradowa
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Granitowa
 WRZESZCZ DOLNY ,  Grażyny
 I ŚRÓDMIEŚCIE ,  Grobla
 II ŚRÓDMIEŚCIE ,  Grobla
 III ŚRÓDMIEŚCIE ,  Grobla
 IV ŚRÓDMIEŚCIE ,  Grobla
 ŚRÓDMIEŚCIE ,  Grodza Kamienna
 WRZESZCZ GÓRNY ,  Grodzieńska
 ŚRÓDMIEŚCIE ,  Grodzka
 JASIEŃ ,  Gronostajowa
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Gronowa
 WYSPA SOBIESZEWSKA ,  Groszkowa
 SIEDLCE ,  gen. Stefana Grota-Roweckiego
 OLIWA ,  Artura Grottgera
 CHEŁM ,  Andrzeja Grubby
 WRZESZCZ DOLNY ,  Grudziądzka
 OLIWA ,  Aleja Grunwaldzka
 STRZYŻA ,  Aleja Grunwaldzka
 WRZESZCZ GÓRNY ,  Aleja Grunwaldzka
 OSOWA ,  Gryfa Pomorskiego
 VII DWÓR ,  Aleksandra Gryglewskiego
 ŚRÓDMIEŚCIE ,  Grząska
 WRZESZCZ DOLNY ,  Grzegorza z Sanoka
 KOKOSZKI ,  Grzybowa
 UJEŚCISKO-ŁOSTOWICE ,  Konrada Guderskiego
 JASIEŃ ,  Konrada Guderskiego
 LETNICA ,  Gwiazda Morza
 BRZEŹNO ,  Tadeusza Gwiazdowskiego
 WYSPA SOBIESZEWSKA ,  Gwiaździsta
 ANIOŁKI ,  Aleja gen. Józefa Hallera
 BRZEŹNO ,  Aleja gen. Józefa Hallera
 WRZESZCZ DOLNY ,  Aleja gen. Józefa Hallera
 WRZESZCZ GÓRNY ,  Aleja gen. Józefa Hallera
 LETNICA ,  Handlowa
 MATARNIA ,  Harfowa
 UJEŚCISKO-ŁOSTOWICE ,  prof. Stefana Hausbrandta
 UJEŚCISKO-ŁOSTOWICE ,  Aleja Vaclava Havla
 CHEŁM ,  Stanisława Hebanowskiego
 OSOWA ,  Heleny
 OSOWA ,  Heliosa
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Helska
 WYSPA SOBIESZEWSKA ,  Zbigniewa Herberta
 BRZEŹNO ,  Herbowa
 OSOWA ,  Herkulesa
 BRĘTOWO ,  Gustawa Herlinga - Grudzińskiego
 OSOWA ,  Hermesa
 OSOWA ,  Herosa
 OSOWA ,  Hery
 OSOWA ,  Hestii
 ŚRÓDMIEŚCIE ,  Jana Heweliusza
 WYSPA SOBIESZEWSKA ,  Hiacyntowa
 CHEŁM ,  Ludwika Hirszfelda
 CHEŁM ,  Emilii Hoene
 ANIOŁKI ,  Józefa Hoene-Wrońskiego
 CHEŁM ,  Hokejowa
 OLIWA ,  Hołdu Pruskiego
 OSOWA ,  Homera
 OSOWA ,  Horacego
 WZGÓRZE MICKIEWICZA ,  Horeszków
 STOGI ,  Hoża
 STRZYŻA ,  mjr. Hubala
 ŚRÓDMIEŚCIE ,  Hucisko
 UJEŚCISKO-ŁOSTOWICE ,  Andrzeja Huenefelda
 OLIWA ,  Jana Husa
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Husytów
 ZASPA-MŁYNIEC ,  Franciszka Hynka
 UJEŚCISKO-ŁOSTOWICE ,  I Brygady
 ŚRÓDMIEŚCIE ,  Igielnicka
 UJEŚCISKO-ŁOSTOWICE ,  II Brygady
 MATARNIA ,  Ikara
 OSOWA ,  Iławska
 WYSPA SOBIESZEWSKA ,  Iłowa
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Inspektorska
 KOKOSZKI ,  Instalatorów
 MATARNIA ,  Internetowa
 KOKOSZKI ,  Inżynierska
 KOKOSZKI ,  Irysowa
 OSOWA ,  Izydy
 JASIEŃ ,  Jabłoniowa
 CHEŁM ,  Henryka Hubertusa Jabłońskiego
 WYSPA SOBIESZEWSKA ,  Jachtowa
 CHEŁM ,  Jagatowska
 CHEŁM ,  Anny Jagiellonki
 OSOWA ,  Aleja Kazimierza Jagiellończyka
 MATARNIA ,  Aleja Kazimierza Jagiellończyka
 KOKOSZKI ,  Aleja Kazimierza Jagiellończyka
 CHEŁM ,  Aleja Kazimierza Jagiellończyka
 PRZYMORZE WIELKIE ,  Jagiellońska
 CHEŁM ,  Władysława Jagiełły
 ŚRÓDMIEŚCIE ,  Jaglana
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Jagodowa
 ŚRÓDMIEŚCIE ,  Jałmużnicza
 II ZASPA-ROZSTAJE ,  Aleja Jana Pawła
 II ZASPA-MŁYNIEC ,  Aleja Jana Pawła
 MŁYNISKA ,  Jana z Kolna 
 ŚRÓDMIEŚCIE ,  Jana z Kolna 
 WZGÓRZE MICKIEWICZA ,  Jankiela
 BRZEŹNO ,  Jantarowa 
 PRZYMORZE WIELKIE ,  Jantarowa
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Jantarowa
 ŚRÓDMIEŚCIE ,  Stefana Jaracza
 WRZESZCZ GÓRNY ,  Jarowa
 UJEŚCISKO-ŁOSTOWICE ,  Jarzębinowa
 OLIWA ,  Jasia i Małgosi
 JASIEŃ ,  Jasieńska
 JASIEŃ ,  Tadeusza Jasińskiego
 ŚRÓDMIEŚCIE ,  Jaskółcza
 SIEDLCE ,  Jasna
 STOGI ,  Jastrzębia
 PIECKI-MIGOWO ,  Jaśkowa Dolina
 WRZESZCZ GÓRNY ,  Jaśkowa Dolina
 OLSZYNKA ,  Jaśminowa
 KOKOSZKI ,  Jaśminowy Stok
 UJEŚCISKO-ŁOSTOWICE ,  Jaworowa
 UJEŚCISKO-ŁOSTOWICE ,  Jaworzniaków
 OSOWA ,  Jednorożca
 OLIWA ,  Jelenia
 UJEŚCISKO-ŁOSTOWICE ,  Jeleniogórska
 OLSZYNKA ,  Jelinki
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Jelitkowska
 PRZYMORZE WIELKIE ,  Jelitkowski Dwór
 MATARNIA ,  Jesienna
 WRZESZCZ GÓRNY ,  Jesionowa
 JASIEŃ ,  Jeziorowa
 ZASPA-ROZSTAJE ,  Kazimierza Jeżewskiego
 KRAKOWIEC-GÓRKI ZACHODNIE ,  Jodłowa
 WYSPA SOBIESZEWSKA ,  Jodowa
 OSOWA ,  Jowisza
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Junacka
 OSOWA ,  Junony
 OSOWA ,  Juraty
 OSOWA ,  Jutrzenki
 OLSZYNKA ,  Kacza
 STOGI ,  Kaczeńce
 MATARNIA ,  Kadetów
 CHEŁM ,  Kadmowa
 ŚRÓDMIEŚCIE ,  Kaletnicza
 KOKOSZKI ,  Kalinowa
 UJEŚCISKO-ŁOSTOWICE ,  Kaliska
 ŚRÓDMIEŚCIE ,  Kamienna Grobla
 SUCHANINO ,  Macieja Kamieńskiego
 CHEŁM ,  Kampinoska
 WYSPA SOBIESZEWSKA ,  Kanałowa
 OLIWA ,  Jana Kanapariusza
 WYSPA SOBIESZEWSKA ,  Kapitańska
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Kapliczna
 OLIWA ,  Kaprów
 UJEŚCISKO-ŁOSTOWICE ,  Karkonoska
 KOKOSZKI ,  Karlikowska
 STRZYŻA ,  Mieczysława Karłowicza
 ŚRÓDMIEŚCIE ,  Karmelicka
 OLIWA ,  Karpacka
 ŚRÓDMIEŚCIE ,  Karpia
 KOKOSZKI ,  Karsińska
 BRĘTOWO ,  Jana Karskiego
 JASIEŃ ,  Kartuska
 KOKOSZKI ,  Kartuska
 SIEDLCE ,  Kartuska
 UJEŚCISKO-ŁOSTOWICE ,  Kartuska
 OLIWA ,  Karwieńska
 OSOWA ,  Kasjopei
 OLIWA ,  Jana Kasprowicza
 NOWY PORT ,  Kasztanowa
 OLIWA ,  Kaszubska
 ŚRÓDMIEŚCIE ,  Katarzynki
 ŚRÓDMIEŚCIE ,  Kaznodziejska
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Kątowa
 WYSPA SOBIESZEWSKA ,  Kempingowa
 OSOWA ,  Jana Keplera
 KRAKOWIEC-GÓRKI ZACHODNIE ,  Kępna
 PRZYMORZE MAŁE ,  Wojciecha Kętrzyńskiego
 CHEŁM ,  Jana Kielasa
 UJEŚCISKO-ŁOSTOWICE ,  Kielecka
 OSOWA ,  Kielnieńska
 STRZYŻA ,  Jana Kiepury
 ŚRÓDMIEŚCIE ,  prof. Zdzisława Kieturakisa
 WRZESZCZ DOLNY ,  Jana Kilińskiego
 STRZYŻA ,  Stefana Kisielewskiego
 KOKOSZKI ,  Kiszewska
 ŚRÓDMIEŚCIE ,  Klesza
 WYSPA SOBIESZEWSKA ,  Klimatyczna
 WRZESZCZ DOLNY ,  Kliniczna
 WRZESZCZ GÓRNY ,  Klonowa
 WRZESZCZ DOLNY ,  Sebastiana Klonowicza
 MATARNIA ,  Klukowska
 ŚRÓDMIEŚCIE ,  Kładki
 CHEŁM ,  Wacława Kłoczkowskiego
 SIEDLCE ,  Kłopot
 STOGI ,  Kłosowa
 STRZYŻA ,  Kmieca
 KOKOSZKI ,  Kminkowa
 CHEŁM ,  Knyszyńska
 BRZEŹNO ,  Bogumiła Kobieli
 WRZESZCZ DOLNY ,  Jana Kochanowskiego
 ŚRÓDMIEŚCIE ,  Kocurki
 CHEŁM ,  Kolarska
 STRZYŻA ,  Oskara Kolberga
 KOKOSZKI ,  Kolbudzka
 WRZESZCZ GÓRNY ,  Kolejarzy
 ANIOŁKI ,  Kolejowa
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Kolonia Anielinki
 ANIOŁKI ,  Kolonia Jordana
